Gene.symbol,ID,adj.P.Val,P.Value,t,B,logFC,Gene.title
PYY,A_23_P4112,3.90E-23,9.50E-28,-16.277899,50.577474,-5.0680675,peptide YY
CHGA,A_32_P27046,2.09E-17,1.02E-21,-12.935103,37.908969,-4.3627914,chromogranin A
,A_24_P709844,1.55E-14,1.13E-18,-11.356305,31.385033,-4.1242714,
GCG,A_23_P254664,1.68E-13,1.64E-17,-10.768456,28.882256,-8.5667359,glucagon
FOXQ1,A_32_P164246,1.06E-12,1.51E-16,10.285194,26.800463,6.4776755,forkhead box Q1
ETV4,A_24_P416346,1.06E-12,1.56E-16,10.278314,26.770689,5.6314203,ETS variant 4
ETV4,A_23_P431776,1.25E-12,2.32E-16,10.191122,26.393011,5.500258,ETS variant 4
CA1,A_23_P168916,1.25E-12,2.44E-16,-10.180239,26.345833,-8.4210355,carbonic anhydrase 1
B3GNT7,A_24_P913716,1.46E-12,3.20E-16,-10.121401,26.090615,-3.0748689,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
INSL5,A_23_P51479,2.68E-12,6.93E-16,-9.954159,25.363862,-7.9336906,insulin like 5
SCN9A,A_23_P112726,2.68E-12,7.18E-16,-9.946522,25.330633,-3.5705196,sodium voltage-gated channel alpha subunit 9
FUT1,A_23_P107963,5.43E-12,1.59E-15,9.774929,24.583052,5.3080012,fucosyltransferase 1 (H blood group)
ZG16,A_23_P49145,1.29E-11,4.09E-15,-9.570627,23.690835,-8.7058773,zymogen granule protein 16
,A_32_P169353,2.44E-11,8.34E-15,-9.416831,23.017883,-5.4371543,
CA7,A_23_P106656,2.48E-11,9.07E-15,-9.398756,22.938728,-4.4986641,carbonic anhydrase 7
KRT80,A_24_P331704,1.87E-10,7.31E-14,8.949357,20.967543,5.804356,keratin 80
B3GNT7,A_24_P20292,6.80E-10,2.82E-13,-8.658609,19.690486,-5.857804,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
B3GALT5-AS1,A_32_P34826,9.02E-10,3.96E-13,-8.58523,19.368181,-5.8337703,B3GALT5 antisense RNA 1
,A_32_P166653,1.11E-09,5.16E-13,-8.528398,19.118591,-4.6187615,
GUCA2B,A_23_P63032,1.51E-09,7.35E-13,-8.451977,18.783038,-4.6910476,guanylate cyclase activator 2B
BEST2,A_23_P16225,1.61E-09,8.24E-13,-8.427356,18.674953,-4.7951819,bestrophin 2
B3GNT7,A_23_P39755,4.27E-09,2.29E-12,-8.206361,17.705458,-2.565485,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
CLDN8,A_23_P427014,4.42E-09,2.48E-12,-8.189488,17.631499,-4.5751361,claudin 8
INHBA,A_23_P122924,6.40E-09,3.74E-12,8.100213,17.240363,4.8256344,inhibin beta A subunit
NKD2,A_23_P41804,7.86E-09,4.80E-12,8.046656,17.005882,5.5609625,naked cuticle homolog 2
AJUBA,A_23_P54055,7.88E-09,5.00E-12,8.037669,16.966549,3.8727943,ajuba LIM protein
ZAK,A_23_P318300,1.20E-08,7.88E-12,7.9389,16.534541,3.6036511,sterile alpha motif and leucine zipper containing kinase AZK
MIR4435-2HG,A_24_P6921,1.27E-08,8.67E-12,7.918401,16.444946,3.1180309,MIR4435-2 host gene
SST,A_23_P252817,1.36E-08,9.64E-12,-7.895384,16.344372,-4.7457331,somatostatin
CLDN1,A_23_P57784,1.36E-08,9.95E-12,7.888308,16.31346,4.9273427,claudin 1
TMEM182,A_23_P328000,1.52E-08,1.15E-11,7.85651,16.174588,3.4197462,transmembrane protein 182
SLC6A6,A_24_P46093,1.95E-08,1.53E-11,7.795631,15.908885,3.6758905,solute carrier family 6 member 6
SCGN,A_23_P251412,3.06E-08,2.46E-11,-7.691564,15.455293,-5.3640102,"secretagogin, EF-hand calcium binding protein"
TRIB3,A_23_P210690,3.31E-08,2.75E-11,7.667674,15.351277,4.1960268,tribbles pseudokinase 3
TCFL5,A_23_P143147,4.57E-08,3.90E-11,7.591214,15.018685,3.7346315,transcription factor like 5
PFDN4,A_23_P166023,6.07E-08,5.33E-11,7.522829,14.72164,3.4917141,prefoldin subunit 4
,A_32_P87074,9.26E-08,8.36E-11,-7.424479,14.295197,-3.4882878,
MUC4,A_24_P239183,9.43E-08,8.74E-11,-7.414685,14.252786,-3.2628575,"mucin 4, cell surface associated"
LINC00152,A_24_P273143,1.23E-07,1.17E-10,7.350691,13.975892,3.0139569,long intergenic non-protein coding RNA 152
INHBA,A_24_P535256,1.34E-07,1.31E-10,7.326366,13.870754,4.9284039,inhibin beta A subunit
CLDN1,A_24_P165949,1.35E-07,1.36E-10,7.318007,13.834637,4.0450563,claudin 1
IER5L,A_24_P383450,1.35E-07,1.38E-10,7.314086,13.817701,2.6770273,immediate early response 5 like
