X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,8.938994,9.116672,7.77597,6.83837,6.707859,5.238783,10.025497,7.377218,7.795144,5.471137,12.485835
N,11.053745,10.78353,10.276924,8.959179,9.336259,7.258352,10.183931,9.30156,13.32911,10.606896,9.510041
T,10.327076,11.673945,10.970026,11.131147,11.411659,8.73841,9.993961,14.275909,13.144332,12.071847,11.418476
N,7.086396,6.647773,12.3976,12.664452,13.03985,11.738093,5.350558,14.444994,14.256812,13.217974,6.518207
T,9.245025,10.133281,9.641907,9.805053,9.946205,7.305466,8.782357,13.628773,11.469102,10.478578,10.982703
N,6.147031,6.230516,12.06158,11.867206,13.300185,11.259309,5.382549,14.452659,13.881171,12.727146,5.926126
T,6.004493,6.014667,11.539026,13.368349,13.144471,10.693306,5.37665,14.201977,13.684325,11.972583,6.782074
N,7.389457,11.367544,11.126435,12.984634,12.659545,9.858489,7.482728,14.455291,13.636219,11.613274,9.404014
T,5.762824,6.092363,11.373323,13.068754,13.450936,11.829792,5.901036,14.194587,13.858139,13.171577,7.332519
N,11.191601,7.833143,11.560406,12.178463,13.037239,10.838436,8.783468,14.339197,13.509364,12.587442,9.618215
T,9.455826,5.906876,12.646673,12.909657,13.087047,11.825788,5.42865,14.353118,13.774644,13.743741,6.381441
N,13.778831,11.304859,6.089546,7.731399,7.671288,6.008814,9.705507,9.205475,8.162074,7.522197,11.307975
T,7.396309,6.191199,12.23715,12.885493,13.58892,11.5044,5.536806,14.563572,13.882955,11.869824,6.2077
N,7.874117,10.130044,6.692566,9.538497,6.954273,6.191673,10.826452,9.974407,5.203957,4.061669,9.98992
T,5.636242,6.069625,11.564179,13.637591,12.666939,11.090863,5.366304,14.345502,13.132418,13.227877,7.426478
N,9.684299,10.031458,7.306835,11.860613,8.553598,5.947659,9.906683,11.526932,7.313476,8.825503,12.245522
T,6.442987,6.488537,12.300243,13.44783,13.276159,11.870164,5.694636,13.937348,13.919543,13.571054,6.80781
N,8.658039,11.738544,5.894361,9.339799,7.606944,4.863363,11.499798,11.153585,5.017382,4.259082,10.091595
T,7.389472,5.812756,12.378648,13.06199,13.310036,11.227971,5.451433,14.45298,13.838218,13.494956,5.895528
N,13.440397,11.43466,5.63029,6.202999,5.530128,5.703869,10.460426,9.233871,3.863488,3.388887,11.001671
T,10.242289,6.17741,12.07768,12.290642,13.070463,10.680323,5.478736,14.613918,13.878443,11.957338,6.644176
N,13.68698,12.760024,6.349614,6.024649,5.956785,5.638497,11.131473,5.792122,4.429059,3.546363,10.710529
T,5.971363,6.46891,12.122719,13.031495,13.352352,11.50909,5.405679,14.521414,13.5304,13.343735,6.37204
N,12.372914,12.996868,10.103779,10.784091,10.391781,7.393416,10.548315,13.842342,11.959294,11.009221,11.310538
T,11.131623,5.503461,9.466374,10.876884,9.524333,7.740667,5.876497,12.023655,11.65476,9.284586,6.529152
N,10.599204,10.126621,6.675239,7.980566,7.015743,5.818339,11.242395,11.074615,5.834442,4.569768,10.439877
T,8.60475,6.520852,11.940401,13.469149,13.001818,11.265935,5.467166,14.631748,12.811064,13.866024,6.686308
N,13.170897,10.712351,6.364393,10.510449,7.402191,6.260352,10.316254,6.322701,3.463677,4.636166,12.087554
T,5.044475,6.733019,12.619611,12.955869,13.280063,11.003661,5.788809,14.52835,13.968492,12.662882,6.517199
N,11.701395,12.784163,5.878002,5.838798,5.839862,5.217909,9.98164,6.080606,5.606478,4.122001,11.225996
T,5.52714,6.184581,12.434424,13.196599,13.355006,11.943219,5.753567,14.569821,14.04036,13.19335,6.901441
N,9.511897,7.531958,9.442979,11.249431,10.484915,8.818882,10.275736,13.481683,12.417238,11.19458,11.525618
T,8.589089,6.593068,12.279908,13.410135,12.923501,11.309025,6.459986,14.226053,14.131621,13.950316,6.941668
N,13.459166,10.507632,6.167941,4.512559,6.208878,5.821958,11.00127,7.606098,4.852886,3.795754,11.138167
