X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,12.00,9.00,3.00,7.00,6.00,1.00,12.00,5.00,3.00,4.00,11.00
T,8.18,5.69,7.17,8.33,8.00,5.20,6.63,10.28,8.50,9.09,8.05
T,9.54,7.48,8.83,8.54,9.36,7.54,6.29,11.26,10.02,9.87,7.69
T,11.00,6.00,6.00,8.00,8.00,5.00,13.00,10.00,7.00,7.00,12.00
T,10.92,8.34,9.53,2.19,8.29,4.91,6.12,4.29,7.03,2.85,7.67
N,3.48,2.51,10.90,10.81,11.54,8.66,2.15,12.22,11.78,12.37,5.07
T,10.01,6.79,3.00,1.97,2.20,3.34,9.18,3.19,2.04,1.61,7.86
T,10.04,4.90,9.72,7.64,9.60,6.50,7.83,11.23,9.52,8.58,8.93
T,295.06,5540.16,63.31,435.13,18.18,5.27,1383.11,67.16,7.09,4.83,851.18
T,12.00,9.00,1.00,6.00,6.00,2.00,11.00,5.00,4.00,6.00,8.00
T,8.89,4.30,7.87,5.56,6.57,4.49,8.24,7.19,8.14,8.30,9.93
N,9.00,5.00,13.00,12.00,13.00,11.00,8.00,14.00,15.00,11.00,7.00
T,12.26,8.18,5.95,4.66,6.19,2.67,7.52,8.96,6.69,7.32,8.36
T,9.00,11.00,2.00,6.00,5.00,0.00,11.00,0.00,0.00,0.00,12.00
T,8.60,6.52,11.94,13.47,13.00,11.27,5.47,14.63,12.81,13.87,6.69
N,19.33,441.69,81.24,3778.05,71.32,7.96,22.63,15927.75,75.20,2.83,98.85
T,139.72,9239.55,5.38,166.67,35.17,6.72,893.64,190.30,6.41,229.48,812.71
T,12.00,8.00,2.00,1.00,6.00,0.00,10.00,1.00,7.00,0.00,12.00
T,9.40,11.03,3.62,4.86,3.74,2.83,5.50,7.30,0.92,3.38,10.42
T,4040.02,3460.02,63.04,839.31,128.62,8.05,5418.74,20.83,2.31,11.31,4957.31
T,11.00,5.00,10.00,9.00,9.00,4.00,12.00,10.00,12.00,10.00,12.00
N,9.02,3.19,10.45,11.70,10.92,9.74,2.52,11.90,11.86,10.51,5.00
T,7.00,11.00,0.00,4.00,5.00,0.00,13.00,3.00,0.00,0.00,12.00
T,11.97,8.29,2.54,4.60,4.80,1.02,8.49,6.23,1.12,1.02,8.51
T,10.00,9.00,6.00,7.00,5.00,2.00,12.00,3.00,6.00,11.00,12.00
T,14.00,7.00,0.00,6.00,0.00,2.00,12.00,2.00,2.00,1.00,10.00
T,9.96,8.36,6.74,5.51,6.04,3.35,7.63,9.04,7.03,8.01,8.48
T,10.00,5.00,9.00,11.00,10.00,7.00,10.00,11.00,12.00,7.00,10.00
T,10.00,9.00,6.00,7.00,6.00,3.00,11.00,3.00,2.00,2.00,12.00
N,7.80,2.04,4.57,8.53,11.37,9.04,2.66,11.44,1.63,1.65,4.46
T,155.09,2706.31,57.10,321.67,12.78,7.28,393.92,726.01,125.63,6.58,4660.45
T,496.48,25999.92,3.13,103.30,35.71,5.20,1088.02,40.06,14.28,2.16,1223.65
T,7.00,10.00,1.00,7.00,8.00,0.00,14.00,8.00,1.00,1.00,11.00
T,11.64,6.86,3.05,2.27,6.39,0.53,7.78,2.92,2.47,2.25,9.14
T,7.69,5.38,8.99,10.24,9.83,5.75,5.57,11.96,7.68,10.59,5.57
N,8.22,2.80,6.43,9.77,10.91,7.15,2.73,11.13,6.36,2.14,5.24
T,10.35,7.87,5.25,5.70,4.86,2.70,7.55,7.21,7.66,6.22,8.86
T,10.00,7.00,10.00,10.00,10.00,7.00,14.00,13.00,12.00,9.00,10.00
T,9.00,13.00,11.00,9.00,10.00,6.00,13.00,9.00,12.00,9.00,10.00
T,11.14,9.96,7.24,7.78,6.48,4.35,7.83,11.12,6.90,6.94,7.14
T,10.33,11.67,10.97,11.13,11.41,8.74,9.99,14.28,13.14,12.07,11.42
T,7.00,14.00,0.00,4.00,0.00,1.00,13.00,2.00,0.00,0.00,12.00
T,11.00,8.00,8.00,9.00,8.00,5.00,10.00,8.00,10.00,9.00,10.00
T,8.00,10.00,0.00,5.00,4.00,0.00,11.00,3.00,2.00,1.00,10.00
T,163.65,2471.27,5.06,71.58,168.61,3.76,231.73,45.05,3.88,3.31,1708.26
T,3684.82,2489.38,214.40,5.41,53.98,5.03,615.82,31.94,40.13,11.37,4123.63
T,11.86,8.03,7.23,5.82,6.89,3.86,8.69,8.57,7.80,6.75,8.14
T,5466.54,378.84,86.22,6.51,91.66,5.57,3805.81,215.00,14.44,9.69,4464.52
T,575.90,2525.62,412.07,1416.96,528.00,14.50,1945.05,105.56,15.40,87.88,4698.87
T,382.67,51866.44,487.96,1786.22,13.92,7.98,557.74,9.78,7.79,7.34,720.88
T,7.00,9.00,4.00,11.00,7.00,4.00,11.00,5.00,2.00,9.00,11.00
T,9.00,10.00,8.00,10.00,7.00,3.00,11.00,7.00,6.00,4.00,11.00
T,3389.72,2735.83,278.26,2448.03,236.21,6.74,666.15,2519.03,33.01,423.90,5592.64
T,8.00,7.00,0.00,1.00,5.00,0.00,13.00,0.00,2.00,0.00,11.00
N,13.46,10.51,6.17,4.51,6.21,5.82,11.00,7.61,4.85,3.80,11.14
T,11.00,10.00,9.00,8.00,8.00,6.00,11.00,8.00,11.00,8.00,10.00
T,9.00,7.00,4.00,4.00,4.00,1.00,12.00,4.00,8.00,6.00,10.00
T,9.54,7.48,8.83,8.54,9.36,7.54,6.29,11.26,10.02,9.87,7.69
T,128.65,430.91,4.14,46.26,15.10,6.17,1605.13,360.16,5.19,4.90,4836.83
T,1124.23,1259.45,110.89,5988.34,241.73,14.19,380.35,15.58,9.17,47.40,9112.02
T,598.14,7120.96,4.39,42.13,15.11,5.54,1389.81,18.24,46.45,5.15,1202.74
N,6.00,1.00,14.00,13.00,13.00,12.00,6.00,14.00,14.00,12.00,7.00
T,9.00,9.00,0.00,5.00,1.00,1.00,11.00,1.00,0.00,1.00,12.00
N,7.59,2.22,9.49,10.90,9.54,7.20,3.76,11.11,11.31,10.31,6.01
T,12.03,7.18,2.67,2.24,5.95,1.93,4.94,5.06,2.09,0.74,9.32
T,263.00,1375.51,210.87,3106.10,102.23,5.66,289.03,80.52,18.69,5.17,1901.92
N,6.00,2.00,14.00,14.00,14.00,12.00,6.00,14.00,16.00,14.00,6.00
T,9.00,6.00,3.00,2.00,5.00,1.00,11.00,0.00,0.00,0.00,12.00
T,2247.39,723.76,138.18,16.92,84.74,5.77,158.82,128.30,1.71,60.86,1099.47
T,10.34,5.68,10.94,8.50,10.96,7.88,5.87,12.35,9.96,11.26,6.61
T,97.67,165.16,5.12,6287.66,43.27,2.65,573.82,64.02,2.83,4.96,2315.44
N,4.00,1.00,13.00,13.00,13.00,11.00,6.00,15.00,13.00,11.00,6.00
T,590.18,133.38,4.69,407.81,64.53,25.59,96.47,5.49,10.98,5.45,974.83
T,9.00,7.70,2.97,8.93,5.14,2.34,8.56,7.61,5.45,6.60,7.47
N,15.73,52.87,17702.50,13179.50,42409.40,15454.20,3.63,19445.40,44046.10,47142.90,144.39
T,8.00,7.00,7.00,8.00,7.00,5.00,9.00,7.00,8.00,5.00,10.00
T,9.00,10.00,2.00,9.00,5.00,2.00,13.00,3.00,9.00,4.00,10.00
T,45.87,2321.83,164.43,264.63,205.60,12.71,36.20,171.49,7.36,3.43,2631.18
T,1544.95,11765.45,28.56,5791.36,5.44,7.65,1106.95,11.00,9.63,5.93,4347.74
T,11.29,10.53,6.69,4.87,5.50,2.22,9.18,8.51,8.05,7.24,8.26
T,13.72,31.21,7.62,333.31,15.62,3.10,196.91,50.94,3.10,4.97,599.57
T,9.00,9.00,1.00,4.00,4.00,1.00,11.00,1.00,2.00,1.00,11.00
T,11.64,6.86,3.05,2.27,6.39,0.53,7.78,2.92,2.47,2.25,9.14
T,13.00,11.00,8.00,10.00,7.00,4.00,11.00,10.00,9.00,8.00,12.00
N,13.78,11.30,6.09,7.73,7.67,6.01,9.71,9.21,8.16,7.52,11.31
T,11.00,14.00,2.00,7.00,6.00,1.00,12.00,7.00,4.00,2.00,11.00
T,981.83,492.46,88.40,524.71,442.14,16.84,1178.18,31.21,85.80,89.04,4874.14
T,2092.17,2872.26,983.63,419.95,222.47,10.15,2488.29,330.91,872.92,387.12,6762.97
T,221.59,3863.08,4.70,1700.20,140.68,6.20,651.20,61.98,10.22,5.49,2267.10
T,14.00,8.00,3.00,9.00,7.00,1.00,12.00,1.00,2.00,1.00,12.00
T,9.00,11.00,9.00,10.00,9.00,6.00,12.00,13.00,7.00,10.00,11.00
T,481.87,118.36,61.09,189.34,134.59,3.42,1441.61,87.40,18.80,17.55,2328.55
T,9.00,7.00,8.00,9.00,9.00,5.00,11.00,12.00,10.00,6.00,11.00
T,11.29,10.53,6.69,4.87,5.50,2.22,9.18,8.51,8.05,7.24,8.26
N,25.89,50.77,10850.20,19785.10,21948.30,5208.77,13.52,28524.80,44906.20,38591.10,298.77
T,18.42,813.35,93.67,692.39,57.20,4.66,411.82,12.31,4.60,4.37,561.72
T,11.00,11.00,0.00,4.00,8.00,1.00,12.00,6.00,5.00,1.00,10.00
N,8.00,2.00,12.00,12.00,13.00,11.00,6.00,14.00,14.00,14.00,6.00
T,8.00,9.00,7.00,7.00,5.00,1.00,12.00,1.00,4.00,0.00,8.00
T,120.67,23501.14,6.42,167.80,6.95,7.67,836.55,7.20,7.52,13.30,2846.37
T,8.00,8.00,6.00,7.00,5.00,1.00,12.00,3.00,3.00,3.00,12.00
T,8.00,7.00,11.00,12.00,10.00,7.00,11.00,11.00,13.00,9.00,13.00
N,7.00,2.00,11.00,13.00,12.00,10.00,7.00,12.00,10.00,10.00,7.00
T,9.00,6.00,2.00,3.00,7.00,0.00,13.00,1.00,2.00,1.00,13.00
T,26.77,2171.79,4.93,10245.92,5.79,6.35,1662.74,5.82,6.35,19.74,3689.24
T,10.00,9.00,7.00,7.00,8.00,3.00,12.00,5.00,10.00,8.00,12.00
T,59.07,333.59,71.55,3352.51,425.80,9.40,315.41,49.46,3.19,9.27,1953.94
T,7.16,8.82,2.90,3.98,3.42,2.70,6.01,2.56,2.57,1.52,5.93
N,10.60,10.13,6.68,7.98,7.02,5.82,11.24,11.07,5.83,4.57,10.44
T,1002.99,1319.83,116.91,467.89,332.50,12.79,3448.57,187.32,24.85,243.71,2032.83
T,13.00,9.00,1.00,4.00,6.00,1.00,13.00,6.00,4.00,3.00,9.00
N,53.01,73.56,10199.40,13140.30,33967.00,18875.30,63.44,28806.50,36915.30,27182.30,203.01
T,5.97,6.47,12.12,13.03,13.35,11.51,5.41,14.52,13.53,13.34,6.37
