EntrezID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbols,Name
347741,-5.8593,-1.1791,-12.986,2.5672e-15,4.191e-11,24.015,OTOP3,otopetrin 3
266675,-5.8109,4.4399,-11.49,9.7514e-14,7.9596e-10,20.732,BEST4,bestrophin 4
766,-5.7086,4.2836,-10.639,8.7448e-13,4.5424e-09,18.72,CA7,carbonic anhydrase 7
92736,-6.8864,2.7678,-10.548,1.113e-12,4.5424e-09,18.497,OTOP2,otopetrin 2
6689,-4.1258,4.7192,-9.3934,2.5719e-11,8.3971e-08,15.58,SPIB,Spi-B transcription factor
56938,1.7961,3.2461,8.6848,1.9243e-10,4.6332e-07,13.693,ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2
56902,1.0903,4.3453,8.6738,1.9867e-10,4.6332e-07,13.663,PNO1,partner of NOB1 homolog
10669,2.9983,2.4904,8.3159,5.6227e-10,1.1474e-06,12.683,CGREF1,cell growth regulator with EF-hand domain 1
201140,-3.5741,-2.1235,-8.2045,7.7965e-10,1.4142e-06,12.374,DHRS7C,dehydrogenase/reductase 7C
9429,-3.3493,3.6876,-7.8762,2.0603e-09,3.3634e-06,11.455,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
3624,4.2177,2.4179,7.6981,3.5065e-09,5.1483e-06,10.952,INHBA,inhibin subunit beta A
220441,-2.1678,4.5491,-7.6675,3.8437e-09,5.1483e-06,10.865,RNF152,ring finger protein 152
2118,3.6811,3.7329,7.646,4.0997e-09,5.1483e-06,10.804,ETV4,ETS variant transcription factor 4
6799,-3.1895,3.0017,-7.6132,4.5242e-09,5.2755e-06,10.71,SULT1A2,sulfotransferase family 1A member 2
8038,3.4957,2.3808,7.5283,5.8407e-09,6.0446e-06,10.468,ADAM12,ADAM metallopeptidase domain 12
8633,-1.9004,3.288,-7.5236,5.9243e-09,6.0446e-06,10.455,UNC5C,unc-5 netrin receptor C
7472,5.0876,-0.27609,7.4292,7.8786e-09,7.5658e-06,10.184,WNT2,Wnt family member 2
23035,-1.8589,5.8874,-7.376,9.2536e-09,8.3925e-06,10.031,PHLPP2,PH domain and leucine rich repeat protein phosphatase 2
2788,-2.2441,3.3145,-7.3431,1.0224e-08,8.7842e-06,9.9367,GNG7,G protein subunit gamma 7
253152,3.2251,-0.051499,7.3234,1.0853e-08,8.8588e-06,9.88,EPHX4,epoxide hydrolase 4
9076,3.4785,3.3985,7.2963,1.1781e-08,9.1583e-06,9.8021,CLDN1,claudin 1
7004,1.7596,3.4191,7.2766,1.251e-08,9.2735e-06,9.745,TEAD4,TEA domain transcription factor 4
8328,-1.8796,0.32459,-7.2488,1.3613e-08,9.2735e-06,9.6648,GFI1B,growth factor independent 1B transcriptional repressor
22802,-5.2765,7.1287,-7.2483,1.3633e-08,9.2735e-06,9.6633,CLCA4,chloride channel accessory 4
10630,2.0225,3.6121,7.1682,1.7394e-08,1.1358e-05,9.4319,PDPN,podoplanin
9588,-1.0545,7.8309,-7.1034,2.1196e-08,1.3309e-05,9.2439,PRDX6,peroxiredoxin 6
11082,4.022,0.25024,7.0569,2.4427e-08,1.4769e-05,9.1091,ESM1,endothelial cell specific molecule 1
55670,-1.512,7.1943,-7.0417,2.5589e-08,1.492e-05,9.0649,PEX26,peroxisomal biogenesis factor 26
10420,-1.1686,3.9958,-6.9892,3.0049e-08,1.6916e-05,8.9121,TESK2,testis associated actin remodelling kinase 2
2981,-5.2088,3.8604,-6.9698,3.1887e-08,1.7352e-05,8.8556,GUCA2B,guanylate cyclase activator 2B
3990,-2.573,0.29694,-6.9529,3.3579e-08,1.7683e-05,8.8064,LIPC,"""lipase C, hepatic type"""
58476,-1.6784,6.9973,-6.9323,3.5768e-08,1.8247e-05,8.7463,TP53INP2,tumor protein p53 inducible nuclear protein 2
400258,-3.1319,-2.7693,-6.8806,4.1907e-08,2.0134e-05,8.5956,C14orf180,chromosome 14 open reading frame 180
343,-5.1707,6.3682,-6.8804,4.1933e-08,2.0134e-05,8.595,AQP8,aquaporin 8
1610,-3.4377,0.046183,-6.8644,4.4043e-08,2.0543e-05,8.5483,DAO,D-amino acid oxidase
79762,-1.8548,6.5986,-6.8453,4.6703e-08,2.1178e-05,8.4925,C1orf115,chromosome 1 open reading frame 115
10924,-2.0511,6.1201,-6.8332,4.847e-08,2.1232e-05,8.4572,SMPDL3A,sphingomyelin phosphodiesterase acid like 3A
8556,-1.3756,3.9474,-6.8269,4.9422e-08,2.1232e-05,8.4386,CDC14A,cell division cycle 14A
55532,-4.3672,1.9774,-6.8112,5.1873e-08,2.1398e-05,8.3926,SLC30A10,solute carrier family 30 member 10
133121,-2.4899,0.51128,-6.7914,5.5129e-08,2.1398e-05,8.3346,ENPP6,ectonucleotide pyrophosphatase/phosphodiesterase 6
1556,-2.0651,1.0659,-6.7906,5.5252e-08,2.1398e-05,8.3325,CYP2B7P,"""cytochrome P450 family 2 subfamily B member 7, pseudogene"""
7804,2.1452,2.8085,6.771,5.8699e-08,2.1398e-05,8.2749,LRP8,LDL receptor related protein 8
